subjCode,positionType,emotionPrompt,targetActor,distractor1Actor,distractor2Actor,distractorEmotion1,distractorEmotion2,targetImage,distractorImage1,distractorImage2,targetLocation
Steve,horiontal,Sad,005w,005m,003w,Angry,Happy,005wT_90_60.jpg,005mW_90_60.jpg,003wF_90_60.jpg,right
Steve,vertical,Angry,001w,005m,003w,Sad,Happy,001wW_90_60.jpg,005mT_90_60.jpg,003wF_90_60.jpg,middle
Steve,vertical,Angry,003w,003w,005m,Happy,Sad,003wW_90_60.jpg,003wF_90_60.jpg,005mT_90_60.jpg,middle
Steve,vertical,Sad,001w,003m,004m,Angry,Happy,001wT_90_60.jpg,003mW_90_60.jpg,004mF_90_60.jpg,top
Steve,horiontal,Happy,002m,005w,005w,Sad,Angry,002mF_90_60.jpg,005wT_90_60.jpg,005wW_90_60.jpg,right
Steve,vertical,Angry,001m,001w,005m,Sad,Happy,001mW_90_60.jpg,001wT_90_60.jpg,005mF_90_60.jpg,bottom
Steve,vertical,Angry,001w,003m,001m,Happy,Sad,001wW_90_60.jpg,003mF_90_60.jpg,001mT_90_60.jpg,top
Steve,horiontal,Angry,002m,001w,003w,Sad,Happy,002mW_90_60.jpg,001wT_90_60.jpg,003wF_90_60.jpg,right
Steve,horiontal,Sad,005m,004m,002m,Angry,Happy,005mT_90_60.jpg,004mW_90_60.jpg,002mF_90_60.jpg,middle
Steve,vertical,Happy,002m,005m,003w,Sad,Angry,002mF_90_60.jpg,005mT_90_60.jpg,003wW_90_60.jpg,bottom
Steve,horiontal,Angry,004w,003w,001w,Happy,Sad,004wW_90_60.jpg,003wF_90_60.jpg,001wT_90_60.jpg,left
Steve,horiontal,Angry,003m,002w,004w,Sad,Happy,003mW_90_60.jpg,002wT_90_60.jpg,004wF_90_60.jpg,left
Steve,vertical,Happy,004m,004w,003m,Angry,Sad,004mF_90_60.jpg,004wW_90_60.jpg,003mT_90_60.jpg,middle
Steve,horiontal,Sad,005m,002m,005m,Happy,Angry,005mT_90_60.jpg,002mF_90_60.jpg,005mW_90_60.jpg,right
Steve,horiontal,Angry,005w,002w,003m,Sad,Happy,005wW_90_60.jpg,002wT_90_60.jpg,003mF_90_60.jpg,left
Steve,horiontal,Happy,004m,005w,005m,Angry,Sad,004mF_90_60.jpg,005wW_90_60.jpg,005mT_90_60.jpg,left
Steve,horiontal,Happy,001m,004w,004m,Angry,Sad,001mF_90_60.jpg,004wW_90_60.jpg,004mT_90_60.jpg,middle
Steve,horiontal,Angry,003m,003m,002w,Happy,Sad,003mW_90_60.jpg,003mF_90_60.jpg,002wT_90_60.jpg,middle
Steve,vertical,Angry,003w,005w,005w,Sad,Happy,003wW_90_60.jpg,005wT_90_60.jpg,005wF_90_60.jpg,top
Steve,horiontal,Happy,005m,002m,005w,Angry,Sad,005mF_90_60.jpg,002mW_90_60.jpg,005wT_90_60.jpg,middle
Steve,vertical,Sad,001m,003w,005m,Happy,Angry,001mT_90_60.jpg,003wF_90_60.jpg,005mW_90_60.jpg,bottom
Steve,horiontal,Happy,003w,004m,002m,Sad,Angry,003wF_90_60.jpg,004mT_90_60.jpg,002mW_90_60.jpg,right
Steve,horiontal,Happy,005m,003w,001m,Angry,Sad,005mF_90_60.jpg,003wW_90_60.jpg,001mT_90_60.jpg,middle
Steve,vertical,Angry,004m,001m,005w,Happy,Sad,004mW_90_60.jpg,001mF_90_60.jpg,005wT_90_60.jpg,top
Steve,horiontal,Angry,001w,004w,002w,Sad,Happy,001wW_90_60.jpg,004wT_90_60.jpg,002wF_90_60.jpg,middle
Steve,vertical,Angry,002m,001m,001m,Happy,Sad,002mW_90_60.jpg,001mF_90_60.jpg,001mT_90_60.jpg,middle
Steve,horiontal,Sad,002w,002m,001w,Angry,Happy,002wT_90_60.jpg,002mW_90_60.jpg,001wF_90_60.jpg,right
Steve,horiontal,Sad,005m,003m,004m,Angry,Happy,005mT_90_60.jpg,003mW_90_60.jpg,004mF_90_60.jpg,middle
Steve,horiontal,Angry,001m,003w,004m,Happy,Sad,001mW_90_60.jpg,003wF_90_60.jpg,004mT_90_60.jpg,right
Steve,horiontal,Happy,005w,003w,004w,Sad,Angry,005wF_90_60.jpg,003wT_90_60.jpg,004wW_90_60.jpg,left
Steve,vertical,Happy,005w,001m,003w,Angry,Sad,005wF_90_60.jpg,001mW_90_60.jpg,003wT_90_60.jpg,middle
Steve,vertical,Sad,005m,001w,004w,Happy,Angry,005mT_90_60.jpg,001wF_90_60.jpg,004wW_90_60.jpg,bottom
Steve,horiontal,Happy,002w,003w,005w,Angry,Sad,002wF_90_60.jpg,003wW_90_60.jpg,005wT_90_60.jpg,left
Steve,vertical,Angry,003w,001w,003m,Sad,Happy,003wW_90_60.jpg,001wT_90_60.jpg,003mF_90_60.jpg,top
